#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Anodes Installed
01,05/06/2023,Poor,Heavy,None,Sound,None,"Paint is missing in large patches. Definitely time for new bottom paint ",0
02,07/01/2023,Poor,Heavy,None,Sound,None,Many small and medium blisters observed,0
03,09/06/2023,"Missing, Poor","Heavy, Moderate",None,Sound,None,,0
04,11/04/2023,"Missing, Poor",Heavy,None,Sound,None,,0
05,01/09/2024,"Missing, Poor",Moderate,None,Sound,None,,0
06,03/08/2024,"Missing, Poor",Heavy,None,Sound,None,,0
07,05/07/2024,Missing,Heavy,None,Sound,None,,0
08,07/12/2024,Missing,Heavy,None,Sound,None,,
09,10/10/2024,Excellent,Minimal,None,Sound,None,,
10,12/11/2024,Excellent,Minimal,None,Sound,None,,
11,02/20/2025,Excellent,Minimal,None,Sound,None,,
12,04/17/2025,Excellent,Minimal,None,Sound,None,,
13,06/19/2025,Excellent,Minimal,None,Sound,None,,
14,08/13/2025,Excellent,Minimal,None,Sound,None,,
15,10/20/2025,Good,Minimal,None,Sound,None,,