#,Date,Duration,Time In,Time Out
06,03/05/2024,23,1215,1238
02,02/04/2023,0,,
01,01/04/2023,0,,
04,04/07/2023,29,1242,1311
03,03/04/2023,24,1026,1050
05,07/06/2023,20,1450,1510
07,04/05/2024,16,1341,1357
08,05/03/2024,13,1615,1628
09,05/31/2024,19,1458,1517
10,07/12/2024,20,1415,1435
11,08/09/2024,18,1439,1457
12,09/14/2024,16,1226,1242
13,10/08/2024,20,1058,1118
14,11/08/2024,15,1400,1415
15,12/06/2024,14,1321,1335
16,,16,1311,1327
17,,15,1153,1208
21,,19,1135,1154
13,,14,1220,1234
22,08/06/2025,10,1430,1440
24,10/14/2025,32,1440,1512