#,# Installed,$ Time,Adjustments,Anodes,Date,Duration,Materials,Monthly,Notes,Paint,Prop,Secondary Visit,Thru-hulls,Time Base Fee,Time In,Time Out,Total,Xtra Minutes
,,,,,,0,,,,,,No,,,,,,0
01,,,$0.00,Good,,30,,,"Some evidence of abrasion near the rudder post, port side. Possible obstruction was present, but no longer.",Excellent,Good,No,Sound,,1445,1515,,10
02,,,$0.00,Good,,38,,,"Waterline is low on starboard side.  Consider raising it or lightening vessel. ",Excellent,Polished,No,Sound,,1130,1208,,18
03,,,$0.00,Fair,,34,,,Nice job trimming out the boat!,Excellent,Polished,No,Sound,,1510,1544,,14
04,,,$0.00,Fair,,27,,,,"Excellent, Good",Polished,No,Sound,,1540,1607,,7
05,,,$0.00,Replaced,,36,,,"Waterline is low near the bow. ",Good,Good,No,Sound,,1454,1530,,16
06,,,$0.00,Excellent,,39,,,"Waterline is low all around. Paint quality diminishing rapidly. ","Fair, Good",Good,No,Sound,,1440,1519,,19
07,,,,"Good, Replaced",,22,,,,Excellent,Polished,No,Sound,,1323,1345,,2
08,,,,"Fair, Good",,21,,,,Excellent,Polished,No,Sound,,1221,1242,,1
09,,,,,,19,,,,,,No,,,1334,1353,,0
10,,,,,,21,,,,,,No,,,1513,1534,,1
12,,,,,,-920,,,,,,No,,,1520,,,0