#,$ Materials,$ Time,Adjustments,Anodes,Base Fee,Date,Duration,Growth,Interval,Monthly,Notes,Paint,Prop,Secondary Visit,Thru-hulls,Time In,Time Out,Total,Xtra Minutes
01,,$12.00,,Fair,$99.00,01/11/2023,26,Heavy,2,$55.00,"Attention: widespread osmotic blistering on rudder, keel and hull. All appear to be roughly dime-sized.",Poor,Good,No,Sound,0,26,$111.00,6
02,,$6.00,,Fair,$99.00,03/03/2023,23,Moderate,2,$52.00,,Poor,Good,No,Sound,1224,1247,$105.00,3
03,,$16.00,,Fair,$99.00,05/04/2023,28,"Heavy, Moderate",2,$57.00,,Poor,Good,No,Sound,1210,1238,$115.00,8
05,,$20.00,,"Fair, Good",$99.00,09/08/2023,30,"Heavy, Moderate",2,$59.00,"Paint has failed. Widespread blistering and shelled animal growth ",Poor,Good,No,Sound,957,1027,$119.00,10
04,,$16.00,,Fair,$99.00,07/02/2023,28,Heavy,2,$57.00," Barnacles may be penetrating the fiberglass ",Poor,Good,No,Sound,1739,1807,$115.00,8
07,,$0.00,,"Fair, Good",$99.00,01/09/2024,20,"Heavy, Moderate",2,$49.00,,Poor,Good,No,Sound,1444,1504,$99.00,0
06,,$6.00,,"Fair, Good",$99.00,11/03/2023,23,"Heavy, Moderate",2,$52.00,,Poor,Good,No,Sound,1310,1333,$105.00,3
08,,$14.00,,"Fair, Good",$99.00,03/11/2024,27,Moderate,2,$56.00,,"Missing, Poor",Good,No,Sound,1205,1232,$113.00,7
09,,$12.00,,Fair,$99.00,05/02/2024,26,"Heavy, Moderate",2,$55.00,,"Missing, Poor",Good,No,Sound,1411,1437,$111.00,6
10,,$0.00,,"Fair, Good",$99.00,07/12/2024,18,"Heavy, Moderate",2,$49.00,,"Missing, Poor",Good,No,Sound,1116,1134,$99.00,0
11,,$0.00,,Fair,$99.00,09/23/2024,20,"Heavy, Moderate",2,$49.00,,"Missing, Poor",Good,No,Sound,1355,1415,$99.00,0
12,,$0.00,,,$99.00,11/13/2024,-707,,,$0.00,,,,No,,1147,,$99.00,0