#,Date,Secondary Visit,Time In,Time Out,Duration,Time Base Fee,Xtra Minutes,$ Time,# Installed,Materials,Adjustments,Total,Monthly
15,"July 8, 2025",No,1237,1302,25,,5,,,,,,
13,"May 14, 2025",No,1411,1437,26,,6,,,,,,
12,,No,1510,1529,19,,0,,,,,,
11,"November 8, 2024",No,1417,1439,22,,2,,,,,,
09,,No,1516,1533,17,,0,,,,,,
10,,No,1207,1227,20,,0,,,,,,
07,,No,1446,1547,61,,41,,,,,,
08,,No,1322,1350,28,,8,,,,,,
06,,No,1040,1152,72,,52,,,,,,
05,,No,1005,1104,59,,39,,,,,,
04,,No,1328,1423,55,,35,,,,,,
03,,Yes,1510,1530,20,,20,,,,,$40.00,
02,,No,1140,1238,58,,38,,,,,,
01,,No,1657,1859,122,,102,,,,,,