#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
08,Good,08/14/2024,Minimal,,,Excellent,Good,Sound
01,"Fair, Good",01/03/2023,Moderate,,"It appears Two Truths has several small blisters on the keel, starboard side. The paint is worn through in some areas around the prop aperture and leading edge of the keel. Prop anode to be replaced on next visit.","Fair, Good",Good,Sound
05,"Good, Replaced",01/10/2024,"Heavy, Moderate",,"Replaced MaxProp anode. Possible issue around grounding plate forward starboard side. ",Fair,Good,"Possible Issue, Sound"
02,"Fair, Good",03/02/2023,Minimal,,I replaced the MaxProp anode and the prop shaft anode.,"Fair, Good",Good,Sound
03,Excellent,05/02/2023,Minimal,,,"Fair, Good",Good,Sound
07,"Good, Missing",06/13/2024,Minimal,,"MaxProp anode missing. I will return with the necessary fasteners and anode. 
",Excellent,Polished,Sound
06,Excellent,04/02/2024,Minimal,,,Excellent,Polished,Sound
04,Excellent,07/01/2023,Minimal,,,"Fair, Good",Good,Sound
09,Good,10/09/2024,"Minimal, Moderate",,,Excellent,Good,Sound
10,"Fair, Good",12/12/2024,Minimal,,,Excellent,Polished,Sound
11,"Fair, Good",02/20/2025,Minimal,,,Excellent,Polished,Sound
12,"Fair, Good",06/23/2025,Minimal,,,Excellent,Good,Sound
13,"Fair, Good",08/13/2025,Minimal,,,Excellent,Good,Sound
14,"Fair, Needs Replacement",10/23/2025,"Minimal, Moderate",,"63MM Maxprop anode to be replaced ",Good,Good,Sound