#,Interval,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes
01,1,01/06/2023,Excellent,Minimal,None,Sound,None,Paint is in excellent condition overall. No issues noted.
02,1,02/03/2023,Excellent,Minimal,None,Sound,None,"The paint is worn away on all the edges of the rudder, and there is little to no paint on the underside of the keel (quite common). No other issues observed"
03,1,03/03/2023,Excellent,Minimal,None,Sound,None,The paint remains in excellent condition overall.
04,1,04/07/2023,Excellent,Minimal,None,Sound,None,
06,1,05/04/2023,Excellent,Minimal,None,Sound,None,
05,1,06/02/2023,Excellent,Minimal,None,Sound,None,
07,1,07/06/2023,Excellent,Minimal,None,Sound,None,
08,1,08/04/2023,"Excellent, Good",Minimal,None,Sound,None,
09,1,09/08/2023,Excellent,Minimal,,Sound,None,"Small blisters along forward waterline and forward starboard side of keel. "
10,1,10/06/2023,"Excellent, Good","Minimal, Moderate",None,Sound,None,
11,1,01/10/2024,Excellent,Minimal,None,Sound,None,
12,1,02/06/2024,Excellent,Minimal,None,Sound,None,
13,1,03/01/2024,Excellent,Minimal,None,Sound,None,
14,1,04/05/2024,Excellent,Minimal,None,Sound,None,
15,1,05/03/2024,Excellent,Minimal,None,Sound,None,
16,1,06/07/2024,Excellent,Minimal,None,Sound,None,
17,1,07/12/2024,Excellent,Minimal,None,Sound,None,
18,1,08/09/2024,Excellent,Minimal,None,Sound,None,
19,1,09/09/2024,"Excellent, Good",Minimal,None,Sound,None,
20,1,09/26/2024,"Excellent, Good",Minimal,None,Sound,None,
21,1,11/08/2024,"Excellent, Good",Minimal,None,Sound,None,
22,,12/06/2024,"Excellent, Good",Minimal,None,Sound,None,
23,,01/22/2025,Excellent,Minimal,None,Sound,None,
24,,02/17/2025,Excellent,Minimal,None,Sound,None,"Waterline is trimmed down by the bow. "
25,,03/17/2025,Excellent,Minimal,None,Sound,None,"Waterline is trimmed down by the bow. "
26,,04/17/2025,"Excellent, Fair","Minimal, Moderate",None,Sound,None,Small blisters appearing along starboard side near waterline
27,,06/06/2025,"Fair, Good",Moderate,None,Sound,None,Blisters and waterline trim persist
28,,08/06/2025,Excellent,Minimal,None,Sound,None,
29,,09/22/2025,Excellent,Minimal,None,Sound,None,
30,,10/13/2025,Excellent,Minimal,None,Sound,None,