#,Anodes,Date,Growth,Interval,Notes,Paint,Prop,Secondary Visit,Thru-hulls
02,Fair,10/09/2023,Minimal,3,,Excellent,Good,No,Sound
01,Good,07/02/2023,Minimal,3,,Excellent,Good,No,Sound
03,"Fair, Replaced",01/05/2024,Minimal,3,"Signs of electrolysis on prop. Installed heavy 7/8” streamlined shaft anode next to prop. Hopefully this helps. ",Excellent,Issue,No,Sound
05,Good,07/11/2024,Minimal,3,,Excellent,Good,No,Sound
04,Good,04/11/2024,Minimal,3,"Prop electrolysis has stopped. ",Excellent,Good,No,Sound
06,Good,10/14/2024,"Minimal, Moderate",3,,Excellent,Good,No,Sound
07,Good,01/13/2025,Minimal,,,Excellent,Good,No,Sound
08,Good,04/08/2025,"Minimal, Moderate",,,Good,Good,No,Sound
09,Good,07/17/2025,Moderate,,,"Fair, Good",Good,No,Sound
10,"Good, Needs Replacing",10/22/2025,Moderate,,"Observed electrolysis on prop. Will return with fresh anodes to see if that helps. ","Fair, Good",Issue,No,Sound