#,Anodes,Duration,Notes,Paint,Prop,Thru-hulls,Time In,Time Out
01,"Fair, Good",20,Knot meter transducer is rotated by about 30 degrees.,Excellent,Good,Sound,1332,1352
02,"Fair, Replaced",33,"Installed 3/4” heavy duty shaft anode. Damage observed along lower aft keel edge, 8”-10” long. Bow nav lights flashing intermittently. ",Excellent,Good,Sound,1618,1651
03,Good,24,,Good,Good,Sound,1606,1630
04,,23,,Good,Good,Sound,1528,1551
05,,16,,,,,1240,1256
06,,13,,,,,1412,1425
07,,20,,,,,1200,1220
08,,25,,,,,1250,1315
08,,18,,,,,1500,1518
10,,21,,,,,1405,1426