#,Anodes,Date,Growth,Notes,Paint,Prop,Thru-hulls
07,"Good, Replaced",02/21/2024,Not Evaluated,"Installed 1 1/4” shaft collar anode
",Not Evaluated,Good,Not Evaluated
01,Good,02/05/2023,"Minimal, Moderate",,Excellent,Good,Sound
02,Fair,04/14/2023,Minimal,,"Excellent, Fair",Good,Sound
04,"Excellent, Fair",08/05/2023,"Heavy, Minimal","Will order and replace keel anodes ",Excellent,"Good, Polished",Sound
03,"Fair, Replaced",06/03/2023,Minimal,"Paint deterioration forward of rudder and shaft, starboard side. Replaced shaft collar anode. ","Excellent, Fair",Good,Sound
06,"Excellent, Fair",12/07/2023,Minimal,"Shaft anode will be replaced on next service. ",Excellent,Polished,Sound
05,"Good, Replaced",10/05/2023,"Heavy, Minimal","Replaced 2 Martyr ZHC-2 anodes. ",Excellent,"Good, Polished",Sound
06,"Good, Missing",02/09/2024,Minimal,Will return with shaft collar anode,Excellent,Polished,Sound
08,Good,04/10/2024,"Heavy, Minimal",,Good,Good,Sound
09,Good,06/14/2024,Moderate,,"Fair, Good",Good,Sound
10,Good,08/05/2024,Moderate,,"Fair, Good",Good,Sound
11,Good,10/08/2024,"Heavy, Moderate","Paint is nearing end of life. ",Fair,Good,Sound
12,"Fair, Good",12/06/2024,Moderate,,Fair,Good,Sound
13,"Fair, Good",02/18/2025,Moderate,,"Fair, Poor",Good,Sound
14,"Fair, Good",04/17/2025,Moderate,,"Fair, Poor",Good,Sound
15,"Fair, Good",06/17/2025,"Heavy, Moderate",,"Fair, Poor",Good,Sound
16,"Fair, Good",08/07/2025,"Heavy, Moderate",,"Fair, Poor",Good,Sound
17,"Good, Retrieving",10/31/2025,"Heavy, Moderate",,"Fair, Poor",Polished,Sound