#,Anodes,Duration,Growth,Interval,Monthly,Notes,Paint,Prop,Thru-hulls,Time In,Time Out
01,None,50,Severe,2,,"Widespread very heavy hard shelled animal growth. Haul out is urgent. ",Missing,None,Sound,1123,1213
02,None,20,Severe,2,,,Missing,None,Sound,1300,1320
06,None,30,Severe,2,,,Missing,None,None,1452,1522
05,None,26,Severe,2,,,Missing,None,Possible Issue,1503,1529
03,None,28,Severe,2,,"Equipment malfunction on 10-1, returned 10-9 (1104-1114) to finish. Speed sensor arm on starboard side next to the keel is a bit loose.",Missing,None,Possible Issue,1507,1535
04,None,28,Severe,2,,,Missing,None,Possible Issue,1248,1316
07,,15,,,$0.00,,,,,1501,1516
08,,13,,,$0.00,,,,,1535,1548
09,,17,,,$0.00,,,,,1405,1422
10,,12,,,$0.00,,,,,1418,1430
11,,12,,,$0.00,,,,,1313,1325
12,,15,,,$0.00,,,,,1520,1535
13,,15,,,$0.00,,,,,1153,1208