#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes
01,01/06/2023,Excellent,Minimal,None,Sound,None,"Damage to forward lower keel, port side. Slight gouging on rudder"
02,02/03/2023,Excellent,Minimal,None,Sound,None,"Damage to forward lower keel, port side. Slight gouging on rudder"
03,03/03/2023,Excellent,Minimal,None,Sound,None,There appear to be more nicks in the paint forward of the keel.
04,04/07/2023,Excellent,Minimal,None,Sound,None,
05,05/05/2023,Excellent,Minimal,None,Sound,None,
06,06/02/2023,Excellent,Minimal,None,Sound,None,Unable to clean starboard waterline at midship due to wires in the water and vessel proximity to the dock.
07,07/06/2023,Excellent,Minimal,None,Sound,None,
08,08/04/2023,Excellent,Minimal,None,Sound,None,
09,09/08/2023,"Excellent, Good",Minimal,None,Sound,None,Algae becoming more tenacious near waterline and port bow areas
10,10/06/2023,"Excellent, Good","Minimal, Moderate",None,Sound,None,
11,11/03/2023,"Excellent, Good","Minimal, Moderate",None,Sound,None,
12,12/01/2023,"Excellent, Fair","Minimal, Moderate",None,Sound,None,
13,01/07/2024,"Excellent, Fair","Minimal, Moderate",None,Sound,None,"Rudder was fouled on under dock wires. "
14,02/06/2024,Good,"Minimal, Moderate",None,Sound,None,Small crack appearing on forward upper rudder
15,03/08/2024,Good,"Minimal, Moderate",None,Sound,None,
16,04/06/2024,Fair,"Minimal, Moderate",None,Sound,None,
17,06/07/2024,Excellent,Minimal,None,Sound,None,
18,07/12/2024,Excellent,Minimal,None,Sound,None,
19,08/09/2024,Excellent,Minimal,None,Sound,None,
20,09/13/2024,Excellent,Minimal,None,Sound,None,
21,10/10/2024,Excellent,Minimal,None,Sound,None,
22,11/13/2024,Excellent,Minimal,None,Sound,None,
23,12/12/2024,Excellent,Minimal,None,Sound,None,
24,01/16/2025,Excellent,Minimal,None,Sound,None,
25,02/20/2025,Excellent,Minimal,None,Sound,None,
26,03/24/2025,Excellent,"Minimal, Moderate",None,Sound,None,"Port waterline has mostly lost anti-fouling effectiveness. "
27,04/17/2025,"Excellent, Good","Minimal, Moderate",None,Sound,None,
28,05/14/2025,"Excellent, Good",Minimal,None,Sound,None,
29,06/19/2025,"Excellent, Good",Minimal,None,Sound,None,
30,08/13/2025,"Excellent, Good",Minimal,None,Sound,None,
31,09/18/2025,"Excellent, Good",Minimal,None,Sound,None,
32,10/15/2025,Excellent,Minimal,None,Sound,None,