#,# Installed,$ Time,Adjustments,Anodes,Date,Duration,Interval,Materials,Monthly,Notes,Paint,Prop,Secondary Visit,Thru-hulls,Time Base Fee,Time In,Time Out,Total,Xtra Minutes
01,,$22.00,,"Fair, Good",,31,3,,$40.00,Good to fair; prop nut may need replacing on next service,Excellent,Good,No,Sound,$99.00,1112,1143,$121.00,11
02,,$18.00,,"Good, Replaced",,29,3,,$39.00,Replaced prop nut anode CMPZ-A,Excellent,Good,No,Sound,$99.00,1157,1226,$117.00,9
04,,$16.00,,"Good, Replaced",,28,3,,$38.00,Replaced prop nut,Excellent,Polished,No,Sound,$99.00,1346,1414,$115.00,8
03,,$20.00,,"Fair, Good",,30,3,,$39.00,,Excellent,Good,No,Sound,$99.00,1550,1620,$119.00,10
06,,$0.00,,"Fair, Good",,19,3,,$33.00,,Excellent,Good,No,Sound,$99.00,1431,1450,$99.00,0
05,,$2.00,,Good,,21,3,,$33.00,,Excellent,Good,No,Sound,$99.00,1302,1323,$101.00,1
07,,$0.00,,,,19,3,,$33.00,,,,No,,$99.00,1350,1409,$99.00,0
08,,$0.00,,,"January 8, 2025",14,,,$0.00,,,,No,,$99.00,1317,1331,$99.00,0
09,,$0.00,,,"April 4, 2025",15,,,$0.00,,,,No,,$99.00,1215,1230,$99.00,0
10,,$0.00,,,"August 8, 2025",16,,,$0.00,,,,No,,$99.00,1357,1413,$99.00,0