#,Add. Timed,Adjustments,Anodes,Base Fee,Date,Duration,Growth,Interval,Materials,Monthly,Notes,Paint,Prop,Thru-hulls,Time In,Time Out,Total
03,$0.00,-$69.00,Replaced,$99.00,12/17/2023,15,Not Evaluated,2,$33.00,$31.00,Installed Gori prop anode,Not Evaluated,Good,Not Evlauated,1455,1510,$63.00
01,$72.00,,Fair,$99.00,10/18/2023,56,Heavy,2,$0.00,$85.00,"Saildrive anode needs replacing on next service. Paint is ablative. Heavy barnacle growth along waterline in several areas. Paint will receive a deeper cleaning on next service. ","Fair, Missing",Good,Sound,1310,1406,$171.00
02,$50.00,,Good,$99.00,12/06/2023,45,Moderate,2,$0.00,$74.00,Received incorrect anode for saildrive. Will re-order.,"Fair, Missing",Good,Sound,1255,1340,$149.00
04,$20.00,,"Excellent, Good",$99.00,02/01/2024,30,Minimal,2,$0.00,$59.00,,"Fair, Missing",Good,Sound,1415,1445,$119.00
05,$22.00,,,$99.00,04/09/2024,31,,2,$0.00,$60.00,,,,,1352,1423,$121.00
06,$26.00,,,$99.00,07/05/2024,33,,2,,$62.00,,,,,1252,1325,$125.00
07,$34.00,,Excellent,$99.00,09/11/2024,37,,2,,$66.00,,"Missing, Poor",Good,Sound,1349,1426,$133.00
08,$34.00,,,$99.00,11/11/2024,37,,2,,$66.00,,,,,1255,1332,$133.00
09,$22.00,,,$99.00,01/14/2025,31,,,,$0.00,,,,,1433,1504,$121.00
11,$4.00,,,$99.00,05/14/2025,22,,,,$0.00,,,,,1438,1500,$103.00
12,$6.00,,,$99.00,07/08/2025,23,,,,$0.00,,,,,1308,1331,$105.00